d,434
t,333
t,334 
t,267
t,300
t,434
t,1135
t,367
t,367
t,400
t,367
t,367
t,1535
t,367
t,400
t,301
t,467
t,1568
t,367
t,367
t,367
t,401
t,1534
t,334
t,400
t,401
t,367
t,1501
t,401
t,400
t,367
t,367
t,1583
t,386
t,367
t,373
t,400
t,334
t,400
t,398
t,348
t,420
t,400
t,330
t,400
t,1550
t,360
t,400
t,800
t,340
t,360
t,800
t,370
t,360
t,410
t,360
t,1770
t,370
t,360
t,540
t,270
t,396
t,364
t,700
t,400
t,440
t,330
t,400
t,700
t,870
t,360
t,410
t,760
t,340
t,360
t,800
t,370
t,370
t,370
t,430
t,1500
t,370
t,390
t,400
t,400
t,380
t,370
t,360
t,440
t,350
t,400
t,440

